aX,aY,aZ,gX,gY,gZ
0.097,-0.322,0.918,3.052,0.549,1.587
0.094,-0.320,0.918,1.892,0.000,1.465
0.095,-0.317,0.916,1.038,-0.610,1.526
0.095,-0.313,0.912,0.549,-1.160,1.099
0.094,-0.307,0.910,0.244,-1.160,0.977
0.094,-0.305,0.906,0.427,-0.916,0.793
0.094,-0.303,0.903,0.854,-0.671,0.671
0.096,-0.305,0.899,1.770,-0.305,0.732
0.101,-0.309,0.898,2.991,0.427,0.793
0.098,-0.317,0.903,4.150,0.244,0.549
0.105,-0.322,0.909,4.456,-0.366,0.793
0.108,-0.330,0.915,4.211,-1.099,1.038
0.105,-0.336,0.917,3.601,-1.526,1.160
0.107,-0.338,0.921,3.479,-1.648,1.953
0.102,-0.338,0.922,3.540,-1.465,2.563
0.098,-0.334,0.923,3.845,-1.465,2.747
0.096,-0.331,0.920,3.662,-0.977,2.930
0.094,-0.328,0.917,3.845,-0.671,3.113
0.089,-0.330,0.914,3.967,-0.427,3.296
0.088,-0.327,0.913,4.150,-0.427,3.357
0.087,-0.324,0.907,4.150,-0.305,3.418
0.087,-0.324,0.901,4.028,-0.549,3.235
0.087,-0.325,0.895,3.479,-1.221,3.113
0.088,-0.329,0.893,3.113,-2.441,2.686
0.087,-0.331,0.895,3.296,-3.052,2.319
0.086,-0.333,0.899,3.784,-3.601,2.258
0.083,-0.333,0.906,4.150,-4.089,2.136
0.077,-0.333,0.912,4.089,-4.089,2.319
0.073,-0.334,0.917,4.272,-4.211,2.319
0.070,-0.330,0.919,4.822,-3.662,2.380
0.064,-0.327,0.920,5.493,-2.808,2.441
0.067,-0.325,0.921,6.165,-1.587,2.686
0.066,-0.325,0.918,6.714,-1.343,2.258
0.365,-0.430,1.303,64.148,53.711,79.956
0.354,-0.447,1.339,76.599,57.678,86.792
0.329,-0.471,1.382,87.891,58.105,93.384
0.316,-0.484,1.422,95.703,56.580,96.069
0.346,-0.504,1.455,98.633,54.932,95.947
0.371,-0.517,1.465,97.351,53.650,97.168
0.391,-0.548,1.432,93.506,54.260,100.952
0.405,-0.556,1.370,87.402,52.612,104.126
0.408,-0.548,1.294,79.407,45.288,105.713
0.399,-0.549,1.197,71.228,34.790,106.506
0.414,-0.530,1.159,63.049,20.935,101.746
0.352,-0.509,1.109,54.688,4.639,97.473
0.397,-0.528,1.045,47.546,2.869,96.252
0.403,-0.532,0.996,44.128,4.761,93.994
0.352,-0.551,0.962,44.678,4.150,92.163
