aX,aY,aZ,gX,gY,gZ
0.037,0.172,0.197,93.262,-136.658,134.155
-0.000,0.196,0.224,91.125,-138.855,133.179
-0.020,0.158,0.219,90.698,-141.418,131.958
-0.045,0.114,0.250,89.478,-146.484,129.395
-0.081,0.094,0.274,87.585,-151.672,125.916
-0.104,0.078,0.313,86.304,-156.677,123.535
-0.116,0.053,0.366,84.290,-161.011,122.009
-0.113,0.031,0.475,81.665,-164.368,122.192
-0.131,0.052,0.557,79.895,-165.283,123.657
-0.163,0.080,0.576,81.604,-164.795,121.948
-0.186,0.068,0.576,84.473,-165.222,118.103
-0.213,0.084,0.583,84.167,-167.114,115.906
-0.234,0.095,0.602,82.703,-169.373,113.464
-0.252,0.129,0.644,82.642,-171.509,110.779
-0.282,0.169,0.655,85.815,-173.096,107.483
-0.303,0.228,0.649,91.614,-174.561,103.027
-0.320,0.245,0.655,94.666,-177.063,96.985
-0.311,0.209,0.727,91.553,-181.946,91.553
-0.300,0.193,0.853,84.351,-187.073,87.097
-0.296,0.204,1.005,79.529,-189.636,85.083
-0.302,0.257,1.088,80.750,-186.707,82.886
-0.289,0.283,1.111,86.426,-181.213,76.660
-0.212,0.312,1.125,90.149,-176.880,69.336
-0.319,0.287,1.180,91.003,-181.641,63.293
-0.216,0.266,1.198,81.665,-170.776,60.059
-0.300,0.197,1.317,73.120,-175.903,50.049
-0.187,0.137,1.323,65.491,-164.185,41.016
-0.188,0.138,1.359,62.622,-161.865,41.016
-0.261,0.235,1.381,70.251,-167.297,37.720
-0.292,0.269,1.337,81.970,-160.217,27.588
-0.309,0.292,1.356,87.097,-154.480,15.747
-0.322,0.298,1.419,83.679,-154.541,4.822
-0.279,0.208,1.543,73.975,-157.654,-4.028
-0.260,0.132,1.757,59.326,-160.645,-9.888
-0.267,0.079,1.983,42.053,-144.409,-16.785
-0.294,0.123,1.883,46.448,-125.427,-22.400
-0.352,0.201,1.699,59.753,-105.408,-32.288
-0.397,0.201,1.545,70.435,-90.637,-46.265
-0.403,0.156,1.516,69.946,-85.815,-59.204
-0.391,0.062,1.573,64.087,-85.510,-69.092
-0.391,-0.018,1.632,60.242,-83.191,-76.538
-0.382,-0.082,1.671,60.791,-76.721,-84.045
-0.409,-0.107,1.656,62.134,-66.650,-90.271
-0.259,-0.145,1.519,61.157,-48.767,-95.276
-0.467,-0.205,1.592,61.462,-58.777,-99.243
-0.448,-0.283,1.591,60.303,-53.528,-105.835
-0.448,-0.368,1.580,54.016,-25.757,-105.652
-0.416,-0.440,1.507,45.654,-2.747,-104.248
-0.484,-0.538,1.391,36.011,5.798,-103.699
-0.274,-0.613,1.344,27.710,-17.822,-105.530
-0.632,-0.827,1.547,32.532,-96.619,-109.802
-0.413,-0.834,1.528,28.687,-77.637,-106.323
-0.459,-0.798,1.529,30.273,-30.396,-96.741
-0.433,-0.768,1.546,44.617,-7.812,-94.849
-0.365,-0.719,1.575,51.208,25.391,-93.689
-0.338,-0.664,1.539,50.598,54.382,-91.614
-0.303,-0.647,1.483,43.579,78.308,-88.928
-0.179,-0.606,1.411,31.128,94.421,-86.426
-0.183,-0.588,1.323,16.907,86.670,-82.886
-0.192,-0.590,1.238,-2.563,75.012,-74.097
-0.204,-0.610,1.176,-21.545,69.458,-71.106
-0.214,-0.641,1.185,-27.039,53.162,-72.266
-0.210,-0.633,1.130,-28.198,54.932,-69.153
-0.208,-0.617,1.039,-24.536,64.636,-69.275
-0.205,-0.657,0.953,-16.724,69.946,-72.876
-0.177,-0.695,0.866,-11.353,75.256,-73.059
-0.111,-0.683,0.780,-8.545,79.712,-68.848
-0.058,-0.650,0.743,-6.042,71.289,-63.843
-0.175,-0.677,0.761,-4.883,56.274,-54.688
-0.104,-0.739,0.752,-2.686,53.711,-62.744
-0.090,-0.791,0.712,-1.831,52.002,-59.204
-0.096,-0.806,0.684,-4.944,47.546,-50.415
-0.087,-0.819,0.687,-9.399,44.922,-42.053
-0.087,-0.837,0.677,-9.094,42.847,-37.537
-0.070,-0.821,0.659,-5.554,39.673,-33.630
-0.057,-0.788,0.681,-3.723,36.316,-28.625
-0.051,-0.756,0.706,-2.991,32.166,-23.010
-0.054,-0.735,0.732,-0.793,26.794,-18.799
-0.049,-0.701,0.755,0.000,24.292,-14.709
-0.055,-0.667,0.792,-1.038,22.827,-10.315
-0.057,-0.615,0.811,-2.319,22.522,-6.531
-0.047,-0.574,0.821,-3.601,23.132,-3.723
-0.051,-0.534,0.848,-5.859,22.766,-1.160
-0.059,-0.501,0.852,-8.667,23.071,1.282
-0.057,-0.483,0.847,-10.864,23.376,3.113
-0.051,-0.465,0.843,-13.184,22.583,5.127
-0.056,-0.430,0.836,-13.428,20.996,7.141
-0.058,-0.403,0.807,-10.925,19.470,8.423
-0.063,-0.375,0.806,-8.728,17.395,9.033
-0.058,-0.353,0.813,-6.531,14.893,9.216
-0.057,-0.326,0.824,-4.333,13.062,9.766
-0.059,-0.306,0.840,-2.625,11.536,9.949
-0.064,-0.285,0.863,-2.380,9.827,10.193
-0.070,-0.266,0.881,-2.319,8.911,10.010
-0.074,-0.266,0.891,-1.892,8.240,8.728
-0.077,-0.274,0.887,-2.563,8.057,7.385
-0.082,-0.295,0.877,-3.662,7.629,7.019
-0.088,-0.300,0.874,-4.150,6.531,7.019
-0.093,-0.309,0.858,-2.625,5.798,6.653
-0.094,-0.317,0.867,-1.282,4.700,6.226
-0.098,-0.321,0.880,0.183,3.479,5.615
-0.102,-0.322,0.880,3.296,2.625,4.883
-0.102,-0.312,0.876,5.371,1.587,4.333
-0.100,-0.308,0.888,5.188,0.610,3.723
-0.102,-0.309,0.903,3.662,-0.061,3.601
-0.103,-0.312,0.919,1.404,0.061,3.906
-0.096,-0.324,0.932,-0.305,0.488,3.296
-0.096,-0.332,0.944,-1.587,1.038,3.235
-0.100,-0.340,0.948,-1.892,1.892,3.662
-0.098,-0.339,0.949,-0.305,2.930,3.296
-0.096,-0.329,0.939,1.587,4.028,2.930
-0.094,-0.323,0.926,2.747,4.822,2.686
-0.090,-0.318,0.922,2.625,4.883,2.258
-0.082,-0.320,0.926,2.625,4.639,2.014
-0.078,-0.321,0.914,2.625,4.944,2.075
-0.081,-0.321,0.912,2.258,4.944,2.502
-0.074,-0.328,0.919,2.319,4.883,2.502
-0.076,-0.330,0.916,2.747,4.944,2.991
-0.075,-0.321,0.910,3.662,4.700,3.296
-0.071,-0.322,0.908,4.028,4.333,3.296
-0.070,-0.316,0.917,3.723,4.028,3.540
-0.073,-0.306,0.909,3.662,3.906,3.479
-0.070,-0.308,0.900,3.784,3.784,2.991
-0.075,-0.312,0.897,3.174,2.563,2.869
-0.072,-0.318,0.906,1.648,2.014,2.869
-0.064,-0.325,0.924,0.916,1.770,2.930
-0.066,-0.322,0.934,1.099,1.404,3.052
-0.068,-0.321,0.941,2.197,1.221,2.686
-0.065,-0.319,0.935,3.418,1.892,2.136
-0.066,-0.316,0.929,3.357,2.502,2.441
-0.066,-0.319,0.931,2.380,2.502,2.930
-0.066,-0.318,0.934,2.014,2.747,3.113
-0.063,-0.315,0.931,2.319,3.113,3.052
-0.067,-0.318,0.923,3.052,3.418,2.930
-0.068,-0.312,0.918,3.601,3.784,2.747
-0.062,-0.311,0.908,4.028,3.418,2.502
-0.064,-0.313,0.912,2.930,2.380,2.502
-0.062,-0.312,0.921,1.343,1.892,2.625
-0.063,-0.318,0.927,1.282,2.014,2.747
-0.064,-0.323,0.924,2.686,2.014,2.441
-0.064,-0.316,0.916,4.028,2.380,2.686
-0.065,-0.315,0.901,4.761,2.686,2.380
-0.067,-0.301,0.902,4.272,1.953,2.380
-0.064,-0.307,0.903,3.235,1.038,1.892
-0.062,-0.324,0.908,2.197,0.549,1.709
-0.062,-0.326,0.916,1.709,0.244,2.136
-0.062,-0.331,0.911,2.563,0.244,1.770
-0.059,-0.327,0.918,2.747,0.183,1.709
-0.061,-0.323,0.922,2.502,0.061,2.014
-0.059,-0.329,0.934,2.014,0.122,2.258
-0.057,-0.327,0.935,1.404,0.305,2.441
-0.058,-0.320,0.939,0.671,0.549,2.502
-0.055,-0.324,0.939,0.122,0.732,2.319
0.209,-0.923,0.941,-31.982,-36.255,57.800
0.193,-0.933,0.955,-34.180,-38.391,66.101
0.184,-0.920,0.977,-36.011,-39.368,73.425
0.159,-0.909,0.990,-35.767,-41.382,80.383
0.126,-0.876,1.006,-37.109,-42.542,88.074
0.085,-0.834,1.035,-40.527,-44.006,96.008
0.044,-0.787,1.050,-43.335,-44.556,103.088
0.002,-0.729,1.064,-45.593,-45.532,108.948
-0.029,-0.660,1.080,-48.706,-44.983,114.258
-0.046,-0.590,1.118,-52.551,-43.701,118.835
-0.058,-0.536,1.168,-55.969,-42.786,122.681
-0.076,-0.465,1.241,-60.547,-41.809,126.648
-0.087,-0.381,1.320,-64.392,-39.856,129.700
-0.083,-0.339,1.387,-66.711,-36.316,130.371
-0.077,-0.296,1.443,-68.115,-32.043,131.104
-0.089,-0.259,1.475,-66.833,-30.273,130.920
-0.132,-0.235,1.503,-63.110,-28.320,130.005
-0.109,-0.183,1.454,-57.373,-26.062,121.887
-0.189,-0.107,1.484,-56.152,-26.306,126.099
-0.212,-0.034,1.423,-60.303,-13.367,127.502
-0.212,0.000,1.379,-60.730,-1.160,122.131
-0.202,0.045,1.381,-59.875,5.981,116.394
-0.224,0.083,1.363,-56.946,5.249,111.145
-0.250,0.114,1.344,-52.856,7.935,103.821
-0.249,0.122,1.289,-47.058,14.709,95.642
-0.258,0.149,1.233,-41.870,20.264,89.050
-0.262,0.181,1.195,-37.903,21.423,82.764
-0.286,0.207,1.168,-35.217,21.179,76.355
-0.287,0.227,1.188,-35.217,23.499,70.129
-0.279,0.218,1.203,-35.217,28.870,63.354
-0.293,0.240,1.204,-33.020,32.837,57.861
-0.277,0.251,1.195,-30.396,36.438,52.429
-0.275,0.251,1.207,-28.320,37.476,45.044
-0.277,0.221,1.204,-27.161,39.124,39.551
-0.282,0.197,1.195,-28.076,44.678,34.851
-0.265,0.195,1.174,-29.602,51.208,31.433
-0.287,0.201,1.161,-29.480,54.321,27.832
-0.301,0.228,1.142,-28.015,58.228,24.780
-0.296,0.246,1.105,-27.527,67.017,20.020
-0.268,0.258,1.074,-26.733,70.557,13.550
-0.250,0.228,1.059,-26.733,68.665,9.338
-0.252,0.225,1.063,-28.320,63.782,7.385
-0.261,0.207,1.068,-28.748,60.059,5.310
-0.271,0.194,1.045,-28.564,61.340,3.235
-0.282,0.202,1.007,-27.710,64.880,1.465
-0.280,0.218,0.961,-27.771,66.467,-0.854
-0.301,0.196,0.949,-29.602,64.819,-3.113
-0.302,0.170,0.940,-31.006,63.293,-7.019
