aX,aY,aZ,gX,gY,gZ
-1.240,2.122,1.438,62.439,-30.823,-111.267
-1.193,1.745,1.769,67.810,-15.808,-136.963
-1.111,1.331,1.760,85.449,12.878,-156.128
-0.931,0.836,1.806,114.441,39.307,-172.852
-0.714,0.371,1.877,145.508,57.983,-187.378
-0.522,-0.124,1.744,158.264,72.693,-200.562
-0.296,-0.860,1.773,127.625,67.810,-212.952
-0.013,-1.651,2.167,48.401,43.579,-220.825
0.243,-2.327,2.612,-33.447,25.024,-216.919
0.446,-2.792,2.834,-78.674,26.794,-198.303
0.659,-2.997,2.755,-74.280,46.082,-169.922
0.759,-3.045,2.568,-40.527,67.383,-136.780
0.722,-2.969,2.433,-12.268,80.566,-100.586
0.762,-2.811,2.549,-4.578,85.327,-66.833
0.708,-2.618,2.561,-2.808,95.032,-38.269
0.616,-2.494,2.354,-6.775,109.741,-14.771
0.533,-2.427,2.191,-25.513,116.455,2.258
0.463,-2.411,2.027,-56.519,118.713,16.357
0.374,-2.360,1.775,-87.646,122.559,30.518
0.266,-2.231,1.467,-104.736,127.441,46.753
0.165,-2.104,1.157,-106.628,132.019,64.453
0.059,-1.937,0.861,-99.548,135.925,82.581
-0.054,-1.808,0.660,-84.778,137.085,99.976
-0.139,-1.750,0.501,-70.496,137.817,115.112
-0.230,-1.659,0.336,-60.974,138.000,129.761
-0.290,-1.565,0.115,-55.115,137.329,143.616
-0.346,-1.522,-0.074,-51.086,132.935,156.006
-0.411,-1.477,-0.223,-49.255,125.000,168.701
-0.477,-1.379,-0.359,-47.424,115.234,182.129
-0.548,-1.217,-0.488,-44.678,104.797,194.885
-0.599,-1.147,-0.562,-39.001,93.750,205.627
-0.659,-1.089,-0.644,-28.320,84.290,216.614
-0.699,-0.996,-0.760,-11.169,77.698,227.905
-0.768,-0.890,-0.888,5.859,68.848,239.258
-0.837,-0.732,-0.994,16.785,56.030,249.207
-0.917,-0.528,-1.118,21.362,39.246,255.798
-0.974,-0.404,-1.239,20.691,18.433,259.338
-1.037,-0.272,-1.265,14.404,-6.531,262.024
-1.141,-0.142,-1.249,8.484,-31.006,264.587
-1.232,-0.092,-1.063,9.399,-51.453,266.602
-1.309,0.182,-0.837,21.851,-64.209,268.738
-1.408,0.574,-1.038,46.021,-64.514,267.029
-1.467,0.810,-1.120,66.895,-71.228,257.568
-1.508,0.994,-0.949,68.481,-94.666,243.408
-1.501,1.016,-0.885,53.162,-116.028,227.783
-1.549,1.069,-0.734,31.128,-137.146,212.708
-1.608,1.186,-0.456,18.982,-157.837,197.205
-1.609,1.217,-0.171,20.081,-167.175,181.580
-1.655,1.387,0.099,29.541,-169.922,166.443
-1.694,1.534,0.282,39.001,-168.030,148.193
-1.696,1.605,0.513,44.739,-165.649,126.953
-1.666,1.599,0.800,48.279,-164.124,104.309
-1.595,1.562,0.887,47.729,-155.579,81.665
-1.525,1.461,0.783,47.668,-147.339,59.631
-1.510,1.406,0.880,46.997,-148.376,42.419
-1.520,1.351,1.135,57.678,-152.222,27.710
-1.573,1.388,1.554,81.055,-147.827,13.062
-1.614,1.444,1.910,102.539,-133.606,-2.625
-1.552,1.508,2.018,118.774,-109.070,-23.560
-1.500,1.527,2.058,126.709,-86.853,-49.988
-1.194,1.325,2.140,124.939,-69.031,-77.576
-1.387,1.155,2.271,111.389,-60.791,-95.703
-1.136,1.086,2.373,93.933,-36.133,-120.789
-1.077,0.863,2.306,88.562,-15.442,-143.616
-0.924,0.523,2.243,78.918,0.244,-159.180
-0.691,0.230,2.273,74.707,12.451,-169.556
-0.598,-0.049,2.148,84.412,24.292,-171.570
-0.456,-0.184,2.171,87.585,33.447,-167.664
-0.314,-0.339,2.127,97.412,44.006,-163.574
-0.213,-0.431,1.779,105.469,59.509,-159.912
-0.264,-1.507,2.965,92.651,64.880,-153.381
-0.210,-0.327,0.303,52.307,113.037,-128.784
0.036,-0.546,1.272,31.860,24.902,-158.081
0.159,-0.880,1.756,-14.954,2.197,-160.889
0.250,-0.876,1.399,-61.829,22.461,-150.391
0.271,-0.784,0.962,-65.308,29.602,-138.306
0.334,-0.860,0.814,-51.270,16.724,-128.418
0.423,-0.978,1.078,-31.921,5.188,-113.281
0.182,-0.661,0.579,2.747,14.282,-90.759
0.001,-0.725,-0.329,39.185,-1.221,-79.407
0.467,-1.170,1.155,78.735,-44.312,-77.576
0.143,-0.722,1.603,38.086,-15.869,-44.250
0.060,-0.506,1.330,24.719,26.550,-27.527
-0.027,-0.347,0.899,13.489,51.086,-21.545
-0.023,-0.340,0.863,-3.784,37.781,-25.208
0.043,-0.489,0.907,-4.211,18.433,-28.687
-0.026,-0.291,1.006,-8.789,7.568,-22.888
-0.081,-0.242,0.864,-9.094,9.094,-19.714
-0.099,-0.158,0.863,-13.306,6.653,-15.747
-0.132,-0.098,0.948,-10.803,4.517,-13.000
-0.173,0.010,0.921,-7.935,6.958,-10.071
-0.184,0.070,0.886,-7.874,8.850,-8.423
-0.165,0.066,0.875,-7.935,9.338,-8.179
-0.159,0.074,0.879,-8.545,8.484,-8.423
-0.158,0.073,0.910,-5.981,7.629,-8.301
-0.169,0.086,0.928,-1.404,7.324,-8.057
-0.174,0.089,0.985,0.610,7.141,-7.507
-0.180,0.086,1.009,3.845,9.766,-7.141
-0.179,0.086,0.992,7.935,15.198,-6.226
-0.169,0.088,0.952,11.230,19.165,-5.310
-0.162,0.096,0.892,13.733,20.325,-4.456
-0.147,0.104,0.895,14.954,18.188,-4.028
-0.143,0.116,0.891,15.564,14.526,-5.005
