aX,aY,aZ,gX,gY,gZ
0.483,-0.285,1.083,-15.076,4.639,-2.686
0.407,-0.280,1.097,-19.348,-0.427,-5.676
0.371,-0.286,1.097,-22.583,-9.583,-7.080
0.344,-0.295,1.096,-22.156,-9.949,-7.019
0.328,-0.315,1.102,-17.395,-7.935,-4.944
0.302,-0.338,1.102,-9.583,-3.174,-0.488
0.303,-0.391,1.091,-3.662,2.869,4.517
0.303,-0.421,1.082,-2.075,6.836,10.437
0.282,-0.433,1.063,-4.761,7.935,15.564
0.274,-0.442,1.034,-10.132,7.507,18.433
0.275,-0.426,0.991,-15.869,6.775,19.958
0.280,-0.406,0.947,-20.691,4.517,20.447
0.288,-0.385,0.919,-24.048,0.671,20.630
0.264,-0.351,0.902,-26.855,-3.662,21.973
0.218,-0.308,0.890,-28.748,-7.690,23.254
0.172,-0.278,0.879,-28.687,-10.071,22.949
0.135,-0.265,0.867,-26.367,-10.437,21.729
0.115,-0.258,0.863,-22.034,-9.705,20.386
0.106,-0.257,0.868,-16.663,-8.789,19.226
0.092,-0.236,0.877,-13.123,-7.446,18.616
0.086,-0.211,0.873,-10.559,-5.737,17.517
0.103,-0.206,0.865,-8.484,-3.479,15.808
0.113,-0.209,0.865,-6.165,-1.770,14.893
0.119,-0.212,0.852,-2.808,1.404,15.259
0.117,-0.204,0.854,0.549,4.822,15.564
0.117,-0.202,0.842,2.930,6.470,14.832
0.121,-0.201,0.829,4.333,6.592,12.024
0.123,-0.206,0.830,5.066,4.028,8.057
0.132,-0.227,0.835,4.700,0.183,3.906
0.156,-0.254,0.847,3.723,-3.235,0.122
0.170,-0.277,0.854,3.052,-5.249,-1.709
0.179,-0.303,0.861,2.563,-5.981,-1.892
0.199,-0.335,0.873,2.380,-5.737,-1.831
0.211,-0.351,0.895,2.563,-4.456,-0.732
0.210,-0.362,0.914,3.357,-2.441,1.587
0.203,-0.373,0.935,4.028,-0.061,3.845
0.196,-0.369,0.945,4.211,1.892,4.883
0.192,-0.368,0.946,3.662,3.662,4.883
0.186,-0.374,0.942,2.380,4.028,3.967
0.184,-0.369,0.938,0.122,3.418,2.258
0.176,-0.357,0.924,-2.930,2.197,0.427
0.171,-0.351,0.910,-5.005,1.160,-1.221
0.173,-0.350,0.900,-5.798,0.183,-2.441
0.175,-0.354,0.900,-5.310,-0.427,-2.197
0.168,-0.351,0.901,-3.967,0.061,-0.244
0.162,-0.346,0.905,-2.075,1.404,1.831
0.160,-0.341,0.910,0.488,3.357,3.906
0.156,-0.334,0.911,2.930,6.042,5.310
0.160,-0.331,0.909,3.845,7.690,5.310
0.159,-0.330,0.905,2.258,6.531,3.845
0.156,-0.330,0.903,-0.549,4.395,1.465
0.158,-0.333,0.904,-2.197,2.197,-0.549
0.160,-0.341,0.911,-3.235,0.671,-1.526
0.160,-0.351,0.912,-3.540,-0.549,-1.831
0.159,-0.351,0.912,-3.235,-0.793,-1.831
0.159,-0.349,0.909,-1.526,-0.366,-1.160
0.933,0.383,1.565,39.124,14.099,22.644
1.141,0.562,1.695,39.246,7.629,21.240
1.337,0.697,1.814,39.124,0.305,20.325
1.522,0.834,1.935,38.269,-8.545,20.630
1.713,1.028,2.052,36.804,-16.785,25.330
1.909,1.319,2.092,34.424,-17.578,37.720
2.066,1.613,1.983,30.457,-10.681,59.448
2.113,1.836,1.730,24.475,-3.418,86.548
2.028,2.046,1.417,17.029,-2.319,112.732
1.809,2.240,1.142,4.089,-14.160,131.042
1.443,2.436,0.943,-18.127,-41.565,138.611
0.925,2.578,0.843,-43.579,-81.116,130.737
