aX,aY,aZ,gX,gY,gZ
0.073,-0.003,0.933,7.385,5.676,3.662
0.054,-0.010,0.960,3.113,2.502,2.747
0.059,-0.030,0.975,0.488,-0.854,2.502
0.055,-0.037,0.933,-0.916,-1.953,2.380
0.042,-0.039,0.974,-1.770,-4.761,2.319
0.036,-0.044,0.977,-2.136,-5.127,2.197
0.034,-0.039,0.956,-1.770,-3.723,2.319
0.043,-0.037,0.973,-1.282,-2.686,2.625
0.047,-0.046,0.970,-1.282,-0.732,2.441
0.262,0.140,2.252,-105.957,-9.949,1.038
0.229,0.122,2.348,-78.857,3.418,0.244
0.038,-0.378,2.221,-26.367,16.357,-14.160
0.017,-0.380,2.125,-35.645,33.752,-3.357
0.087,-0.202,2.111,-55.481,36.377,15.381
0.130,-0.165,2.160,-48.523,37.415,21.240
0.137,-0.167,2.130,-36.377,41.626,18.555
0.149,-0.184,2.107,-23.499,44.128,13.672
0.198,-0.152,2.122,-5.432,47.363,7.324
0.222,-0.105,2.130,13.794,54.382,2.686
0.215,-0.085,2.105,25.635,59.692,4.272
0.199,-0.078,2.052,31.372,66.162,5.615
0.171,-0.067,1.938,36.560,74.646,5.615
0.147,-0.046,1.825,45.471,79.346,5.188
0.141,-0.036,1.784,58.533,80.627,4.456
0.139,-0.050,1.721,74.463,80.261,4.089
0.152,-0.043,1.666,90.942,77.881,3.784
0.166,-0.024,1.663,108.582,75.012,3.418
0.168,-0.014,1.626,126.160,74.463,2.991
0.181,0.012,1.578,139.404,76.538,5.310
0.186,0.030,1.462,144.836,80.688,10.620
0.190,0.075,1.329,141.479,85.999,16.296
0.179,0.070,1.207,135.742,88.623,21.484
0.161,0.079,1.091,130.493,90.454,25.513
0.146,0.089,0.984,127.258,91.797,28.870
0.131,0.114,0.871,128.357,93.262,29.968
0.111,0.127,0.789,134.705,94.299,29.175
0.125,0.132,0.785,143.555,94.971,26.794
0.157,0.134,0.884,151.855,96.191,25.879
0.158,0.115,0.897,159.546,101.074,24.841
0.140,0.098,0.811,167.542,108.337,23.743
0.125,0.093,0.681,175.842,112.549,25.513
